file_name,time_d4,solutions_d4,memory_d4,time_gpmc,solutions_gpmc,memory_gpmc,time_addmc,solutions_addmc,memory_addmc,time_sharpsat,solutions_sharpsat,memory_sharpsat,time_ganak,solutions_ganak,memory_ganak,time_ganak_no,solutions_ganak_no,memory_ganak_no,time_approxmc,solutions_approxmc,memory_approxmc,time_approxmc_no,solutions_approxmc_no,memory_approxmc_no
50-14-7-q.txt.gz.no_w.txt,62.042741,219.14983684337832,596.0,3.73,219.14983684337832,82.0,0.211,219.14983777244484,-1.0,100000.0,,,100000.0,,,100000.0,,,10.73,219.14983684337832,226.390625,2.91,219.10708486295732,31.9453125
modexp8-5-3.txt.gz.no_w.txt,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,1126.97,11.490292357678667,280.0625,472.89,11.396387854810335,241.66015625
or-50-5-9-UC-30.txt.gz.no_w.txt,0.000883,5.661577970637956,548.0,0.0,5.661577970637956,42.0,100000.0,,,3.39263,15.05149978319906,93017.0,0.002613,5.661577970637956,-1.0,0.006391,5.661577970637956,-1.0,0.0,5.661577970637956,6.44921875,0.01,5.661577970637956,6.640625
90-30-1-q.txt.gz.no_w.txt,54.822981,1047.5843849106543,567.0,0.37,1047.5843849106543,43.0,100000.0,,,100000.0,,,100000.0,,,100000.0,,,1.44,1047.5911182933137,46.69140625,0.31,1047.5843849106543,16.51171875
blasted_TR_b14_even2_linear.txt.gz.no_w.txt,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,18.47,94.82444863415408,128.94921875,13.97,94.82444863415408,47.00390625
or-100-20-9-UC-50.txt.gz.no_w.txt,0.001172,7.688271709450552,548.0,0.01,7.688271709450552,42.0,0.038,7.688272065550914,-1.0,100000.0,,,0.00569,7.688271709450552,-1.0,0.005483,7.688271709450552,-1.0,0.03,7.683357744961198,6.890625,0.02,7.752993673102592,6.71875
90-18-1-q.txt.gz.no_w.txt,0.168132,368.761744688377,549.0,0.05,368.761744688377,42.0,100000.0,,,0.314214,368.7617447,135370.0,0.569375,359.1287848271296,-1.0,0.579237,359.1287848271296,-1.0,0.05,368.761744688377,,0.05,368.761744688377,
75-10-2-q.txt.gz.no_w.txt,0.163138,108.37079843903324,549.0,0.03,108.37079843903324,42.0,0.042,108.37079796142424,-1.0,0.588178,108.37079843903324,122353.0,0.08522,108.37079843903324,-1.0,0.085848,108.37079843903324,-1.0,0.32,108.3841624005912,16.29296875,0.08,108.44543205733014,7.83203125
or-50-10-7-UC-30.txt.gz.no_w.txt,0.002133,5.805484546322236,548.0,0.01,5.805484546322236,42.0,100000.0,,,2.5898,15.05149978319906,125132.0,0.005232,5.805484546322236,-1.0,0.002963,5.805484546322236,-1.0,0.01,5.805484546322236,6.68359375,0.01,5.805484546322236,6.51171875
or-50-5-6-UC-30.txt.gz.no_w.txt,0.000648,4.515449934959718,548.0,0.0,4.515449934959718,20.0,100000.0,,,3.6613,15.05149978319906,101911.0,0.005873,4.515449934959718,-1.0,0.004755,4.515449934959718,-1.0,0.01,4.515449934959718,,0.0,4.515449934959718,
or-50-5-2-UC-30.txt.gz.no_w.txt,0.002386,4.9925711896793805,548.0,0.0,4.9925711896793805,42.0,100000.0,,,7.94698,15.05149978319906,130909.0,0.005785,4.9925711896793805,-1.0,0.00404,4.9925711896793805,-1.0,0.0,4.9925711896793805,6.5,0.0,4.9925711896793805,6.578125
brp.pm_14steps_22int_8fract_p1_N=10000_MAX=4under.dimacs.gz.no_w.txt,100000.0,,,0.18,-1.0,59.0,100000.0,,,0.555266,-1.0,199599.0,100000.0,,,100000.0,,,0.4205,-1.0,,0.4563,-1.0,
or-70-20-1-UC-30.txt.gz.no_w.txt,0.349509,12.7130959738493,548.0,0.01,12.7130959738493,42.0,0.029,12.713096391150762,-1.0,100000.0,,,0.196139,12.71309597,-1.0,0.200643,12.71309597,-1.0,0.06,12.694412340334592,7.984375,0.03,12.553083187538125,6.6328125
leader_sync4_11.pm_5steps_7int_13fract_elected_neg_over.dimacs.gz.no_w.txt,228.293091,38143.987263791234,640.0,2.94,38143.987263791234,61.0,100000.0,,,100000.0,,,100000.0,,,100000.0,,,7.31,76.61922675201289,185.48828125,5.88,76.5899373759109,185.49609375
90-46-6-q.txt.gz.no_w.txt,757.362709,2492.6666667959303,1639.0,1.97,2492.6666667959303,45.0,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,
75-22-7-q.txt.gz.no_w.txt,556.512427,556.3108912647614,1799.0,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,15.64,556.3034319870372,266.640625,3.55,556.2896437025516,39.375
Grids_27.uai.txt_no_w.txt,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,,100000.0,,
leader_sync4_11.pm_5steps_7int_20fract_elected_over.dimacs.gz.no_w.txt,100000.0,,,14.74,61136.77366125304,194.0,100000.0,,,100000.0,,,100000.0,,,100000.0,,,16.08,120.40515884106216,295.26953125,11.16,120.39820998110685,295.2578125
blasted_case57.txt.gz.no_w.txt,0.081252,8.729869874255455,549.0,0.04,8.729869874255455,42.0,219.2,8.729869945441862,-1.0,0.05307,8.729869874255455,133959.0,0.022396,8.729869874255455,-1.0,0.022852,8.729869874255455,-1.0,0.19,8.729869874255455,8.40625,0.11,-1.0,7.1953125
or-100-10-4-UC-50.txt.gz.no_w.txt,0.000938,5.344753707790743,548.0,0.01,5.344753707790743,42.0,100000.0,,,100000.0,,,0.002571,5.344753707790743,-1.0,0.006607,5.344753707790743,-1.0,0.01,5.344753707790743,6.73828125,0.01,5.344753707790743,6.63671875
blasted_case_2_b12_1.txt.gz.no_w.txt,0.4122,9.030899869919436,549.0,0.07,9.030899869919436,42.0,453.454,9.030899132168711,-1.0,1.07068,9.030899869919436,137166.0,0.467696,9.030899869919436,-1.0,0.458781,9.030899869919436,-1.0,0.3,9.030899869919436,8.8203125,0.15,9.030899869919436,7.7421875
75-23-7-q.txt.gz.no_w.txt,515.840499,609.284711223898,1695.0,1.84,609.284711223898,56.0,100000.0,,,100000.0,,,100000.0,,,100000.0,,,20.29,609.2980751854559,247.80078125,3.58,609.3358637463452,35.5703125
ActivityService.sk_11_27.txt.gz.no_w.txt,0.33597,15.25640764090008,552.0,0.2,15.25640764090008,43.0,100000.0,,,0.072601,15.25640764090008,126838.0,0.072226,15.25640764090008,-1.0,0.065634,15.25640764090008,-1.0,0.22,4.891113548920603,10.27734375,0.15,4.879531676370788,10.421875
